"deimos"

modified from the shape model of P. Thomas and
colleagues at Cornell.

long, lat, radius (km)
0,-90,3.9545
0,-85,4.1874
0,-80,4.496
0,-75,4.8416
0,-70,5.1512
0,-65,5.6082
0,-60,5.9651
0,-55,6.3201
0,-50,6.5928
0,-45,6.7492
0,-40,6.8111
0,-35,6.8575
0,-30,6.9006
0,-25,6.9627
0,-20,7.0463
0,-15,7.1604
0,-10,7.2844
0,-5,7.4073
0,0,7.5466
0,5,7.6506
0,10,7.7589
0,15,7.6272
0,20,7.45
0,25,7.3043
0,30,7.2413
0,35,7.1761
0,40,7.0682
0,45,7.008838
0,50,6.951506
0,55,6.792615
0,60,6.590011
0,65,6.404085
0,70,6.174111
0,75,5.976188
0,80,5.8537
0,85,5.7717
0,90,5.6326
5,-90,3.9545
5,-85,4.1909
5,-80,4.5031
5,-75,4.8364
5,-70,5.1371
5,-65,5.5927
5,-60,5.9413
5,-55,6.2496
5,-50,6.4838
5,-45,6.5933
5,-40,6.6552
5,-35,6.7035
5,-30,6.7585
5,-25,6.8437
5,-20,6.9405
5,-15,7.0383
5,-10,7.1372
5,-5,7.286
5,0,7.4505
5,5,7.576
5,10,7.7114
5,15,7.5276
5,20,7.3039
5,25,7.238
5,30,7.1946
5,35,7.1413
5,40,7.0866
5,45,6.9811
5,50,6.891171
5,55,6.740746
5,60,6.599746
5,65,6.428195
5,70,6.160348
5,75,5.946821
5,80,5.8632
5,85,5.7755
5,90,5.6326
10,-90,3.9545
10,-85,4.1932
10,-80,4.5085
10,-75,4.8298
10,-70,5.1213
10,-65,5.5738
10,-60,5.9088
10,-55,6.1623
10,-50,6.3664
10,-45,6.4498
10,-40,6.4995
10,-35,6.549
10,-30,6.6103
10,-25,6.6953
10,-20,6.7799
10,-15,6.8775
10,-10,6.978
10,-5,7.1605
10,0,7.3721
10,5,7.5266
10,10,7.597
10,15,7.4793
10,20,7.2764
10,25,7.1699
10,30,7.1174
10,35,7.0772
10,40,7.0164
10,45,6.9462
10,50,6.834574
10,55,6.724492
10,60,6.587872
10,65,6.436189
10,70,6.170232
10,75,5.958864
10,80,5.8598
10,85,5.7772
10,90,5.6326
15,-90,3.9545
15,-85,4.1906
15,-80,4.5047
15,-75,4.8147
15,-70,5.0939
15,-65,5.5074
15,-60,5.8065
15,-55,6.0492
15,-50,6.2298
15,-45,6.3028
15,-40,6.3503
15,-35,6.3975
15,-30,6.4566
15,-25,6.544
15,-20,6.6432
15,-15,6.7783
15,-10,6.8986
15,-5,7.1118
15,0,7.3207
15,5,7.4782
15,10,7.5622
15,15,7.4409
15,20,7.2218
15,25,7.1041
15,30,7.0319
15,35,6.9722
15,40,6.9255
15,45,6.8571
15,50,6.7732
15,55,6.662103
15,60,6.54626
15,65,6.391846
15,70,6.186353
15,75,5.983143
15,80,5.8657
15,85,5.7643
15,90,5.6326
20,-90,3.9545
20,-85,4.1868
20,-80,4.4992
20,-75,4.7973
20,-70,5.0628
20,-65,5.4304
20,-60,5.6947
20,-55,5.931
20,-50,6.0967
20,-45,6.1655
20,-40,6.2024
20,-35,6.2525
20,-30,6.3173
20,-25,6.4188
20,-20,6.5065
20,-15,6.6657
20,-10,6.8192
20,-5,7.0632
20,0,7.2802
20,5,7.419
20,10,7.4942
20,15,7.3906
20,20,7.1703
20,25,7.0091
20,30,6.9028
20,35,6.8372
20,40,6.7786
20,45,6.7315
20,50,6.6707
20,55,6.58
20,60,6.468016
20,65,6.333274
20,70,6.155326
20,75,5.9814
20,80,5.8644
20,85,5.7627
20,90,5.6326
25,-90,3.9545
25,-85,4.1781
25,-80,4.4843
25,-75,4.7793
25,-70,5.0385
25,-65,5.3686
25,-60,5.6192
25,-55,5.8316
25,-50,5.9887
25,-45,6.0414
25,-40,6.0731
25,-35,6.1299
25,-30,6.2179
25,-25,6.3377
25,-20,6.4732
25,-15,6.6585
25,-10,6.8439
25,-5,7.0521
25,0,7.2301
25,5,7.3239
25,10,7.3663
25,15,7.2635
25,20,7.0478
25,25,6.8591
25,30,6.7395
25,35,6.6574
25,40,6.6107
25,45,6.582
25,50,6.5486
25,55,6.484
25,60,6.3872
25,65,6.2529
25,70,6.1282
25,75,5.9688
25,80,5.8631
25,85,5.7603
25,90,5.6326
30,-90,3.9545
30,-85,4.1685
30,-80,4.4675
30,-75,4.758
30,-70,5.0091
30,-65,5.3079
30,-60,5.5706
30,-55,5.7431
30,-50,5.88
30,-45,5.9248
30,-40,5.9508
30,-35,6.023
30,-30,6.1311
30,-25,6.2771
30,-20,6.4471
30,-15,6.6614
30,-10,6.8757
30,-5,7.0456
30,0,7.1538
30,5,7.1827
30,10,7.1645
30,15,7.0439
30,20,6.8377
30,25,6.6656
30,30,6.5445
30,35,6.471
30,40,6.4399
30,45,6.433
30,50,6.4239
30,55,6.3846
30,60,6.3128
30,65,6.202
30,70,6.1062
30,75,5.9759
30,80,5.8628
30,85,5.7575
30,90,5.6326
35,-90,3.9545
35,-85,4.1607
35,-80,4.4416
35,-75,4.7179
35,-70,4.953
35,-65,5.2173
35,-60,5.4905
35,-55,5.6502
35,-50,5.8098
35,-45,5.8108
35,-40,5.8119
35,-35,5.9236
35,-30,6.0354
35,-25,6.2132
35,-20,6.3909
35,-15,6.6006
35,-10,6.8104
35,-5,6.9483
35,0,7.0437
35,5,7.0154
35,10,6.9251
35,15,6.774
35,20,6.5977
35,25,6.4596
35,30,6.3566
35,35,6.3005
35,40,6.283
35,45,6.2978
35,50,6.3052
35,55,6.2866
35,60,6.2382
35,65,6.1613
35,70,6.083
35,75,5.9825
35,80,5.8647
35,85,5.7553
35,90,5.6326
40,-90,3.9545
40,-85,4.1547
40,-80,4.4135
40,-75,4.6739
40,-70,4.8907
40,-65,5.1212
40,-60,5.4163
40,-55,5.5578
40,-50,5.6994
40,-45,5.7046
40,-40,5.71
40,-35,5.8351
40,-30,5.9601
40,-25,6.1475
40,-20,6.3348
40,-15,6.54
40,-10,6.7451
40,-5,6.8603
40,0,6.9222
40,5,6.8414
40,10,6.7135
40,15,6.5532
